en,mni-Mtei
162,꯱꯶꯲ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
"merrily round and round, feeling more friendly than ever after","ꯃꯦꯔꯤꯂꯤ ꯔꯎꯟꯗ ꯑꯃꯁꯨꯡ ꯔꯥꯎꯟꯗ, ꯍꯥꯟꯅꯗꯒꯤ ꯍꯦꯟꯅꯥ ꯐ꯭ꯔꯦꯟꯗꯂꯤ ꯑꯣꯏꯕꯥ ꯐꯥꯑꯣꯔꯤ"
their small tiff,ꯃꯈꯣꯌꯒꯤ ꯑꯄꯤꯀꯄꯥ ꯇꯤꯐ .
"‘Laurie, I want you to do me a favor, will you?’ said Meg, as he","‘ꯂꯧꯔꯤ, ꯑꯩꯅꯥ ꯅꯉꯕꯨ ꯑꯩꯉꯣꯟꯗꯥ ꯃꯇꯦꯡ ꯄꯥꯡꯕꯤꯕꯥ ꯄꯥꯝꯃꯤ, ꯅꯉꯅꯥ ꯇꯧꯒꯅꯤ?’ ꯃꯦꯒꯅꯥ ꯍꯥꯌꯔꯀꯏ, as he"
"stood fanning her when her breath gave out, which it did very","ꯁ꯭ꯇꯦꯗꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯊꯋꯥꯏ ꯌꯥꯑꯣꯕꯥ ꯑꯗꯨ ꯄꯤꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯃꯍꯥꯀꯄꯨ ꯐꯥꯅꯤꯡ ꯇꯧꯈꯤ, ꯃꯗꯨ ꯌꯥꯝꯅꯥ ꯇꯧꯈꯤ"
soon though she would not own why,ꯑꯊꯨꯕꯥ ꯃꯇꯃꯗꯥ ꯃꯍꯥꯛꯅꯥ ꯀꯔꯤꯒꯤꯅꯣ ꯍꯥꯌꯕꯗꯨ ꯃꯁꯥꯒꯤ ꯑꯣꯏꯖꯕꯥ ꯊꯤꯗꯅꯥ .
"‘Won’t I!’ said Laurie, with alacrity","‘ꯑꯩꯍꯥꯛ!’ ꯍꯥꯌꯅꯥ ꯂꯧꯔꯤꯅꯥ ꯍꯥꯌꯔꯀꯏ, ꯑꯦꯂꯥꯛꯔꯤꯇꯤꯒꯥ ꯂꯣꯌꯅꯅꯥ"
‘Please don’t tell them at home about my dress tonight. They,‘ꯆꯥꯅꯕꯤꯗꯨꯅꯥ ꯉꯁꯤ ꯅꯨꯃꯤꯗꯥꯡꯋꯥꯏꯔꯝ ꯑꯩꯒꯤ ꯄꯣꯠꯆꯩꯒꯤ ꯃꯔꯃꯗꯥ ꯌꯨꯃꯗꯥ ꯍꯥꯌꯕꯤꯒꯅꯨ꯫
"won’t understand the joke, and it will worry Mother.’","ꯖꯣꯛ ꯑꯗꯨ ꯂꯧꯁꯤꯅꯕꯥ ꯉꯃꯂꯣꯏ, ꯑꯃꯁꯨꯡ ꯃꯁꯤꯅꯥ ꯃꯃꯥꯗꯥ ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯊꯣꯛꯀꯅꯤ꯫’"
"‘Then why did you do it?’ said Laurie’s eyes, so plainly that Meg","‘ꯑꯗꯨꯗꯤ ꯀꯔꯤꯒꯤ ꯇꯧꯈꯤꯕꯅꯣ?’ ꯂꯧꯔꯤꯒꯤ ꯃꯤꯠꯌꯦꯡꯅꯥ ꯍꯥꯌꯔꯀꯏ, ꯑꯁꯨꯛ ꯌꯥꯝꯅꯥ ꯃꯌꯦꯛ ꯁꯦꯡꯅꯥ ꯃꯦꯒ"
hastily added,ꯌꯥꯝꯅꯥ ꯊꯨꯅꯥ ꯃꯈꯥ ꯇꯥꯅꯥ ꯍꯥꯄꯆꯤꯜꯂꯦ꯫
"‘I shall tell them myself all about it, and ‘fess’ to Mother how silly","‘ꯑꯩꯍꯥꯛ ꯃꯈꯣꯌꯗꯥ ꯑꯩꯍꯥꯛ ꯏꯁꯥꯃꯀꯁꯨ ꯃꯁꯤꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯄꯨꯝꯅꯃꯛ ꯍꯥꯌꯒꯅꯤ, ꯑꯃꯁꯨꯡ ꯃꯃꯥꯗꯥ ‘ꯐꯦꯁ’ ꯇꯧꯔꯛꯀꯅꯤ꯫"
"I’ve been. But I’d rather do it myself. So you’ll not tell, will you?’",ꯑꯩꯅꯥ ꯆꯠꯈ꯭ꯔꯦ꯫
"‘I give you my word I won’t, only what shall I say when they ask","‘ꯑꯩꯅꯥ ꯅꯉꯣꯟꯗꯥ ꯑꯩꯒꯤ ꯋꯥꯍꯩ ꯄꯤꯖꯔꯤ, ꯃꯈꯣꯌꯅꯥ ꯍꯪꯂꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯑꯩꯅꯥ ꯀꯔꯤ ꯍꯥꯌꯒꯅꯤ"
me?’,ꯑꯩꯍꯥꯛ?'
‘Just say I looked pretty well and was having a good time.’,‘ꯈꯨꯗꯝ ꯑꯣꯏꯅꯥ ꯍꯥꯌꯕꯤꯌꯨ ꯑꯩꯅꯥ ꯌꯥꯝꯅꯥ ꯐꯖꯅꯥ ꯎꯈꯤ ꯑꯃꯁꯨꯡ ꯑꯐꯕꯥ ꯃꯇꯝ ꯑꯃꯥ ꯂꯦꯅꯈꯤ꯫’
"‘I’ll say the first with all my heart, but how about the other? You",‘ꯑꯩꯒꯤ ꯊꯝꯃꯣꯌ ꯄꯨꯝꯅꯃꯛꯀꯥ ꯂꯣꯌꯅꯅꯥ ꯑꯍꯥꯅꯕꯥ ꯍꯥꯌꯒꯅꯤ ꯑꯗꯨꯕꯨ ꯑꯇꯣꯞꯄꯥ ꯑꯗꯨ ꯀꯔꯝꯅꯥ ꯑꯣꯏꯒꯅꯤ?
don’t look as if you were having a good time. Are you?’ And,ꯑꯐꯕꯥ ꯃꯇꯝ ꯑꯃꯥ ꯂꯦꯞꯂꯝꯕꯥ ꯑꯗꯨꯒꯨꯝꯅꯥ ꯌꯦꯡꯕꯤꯒꯅꯨ꯫
Laurie looked at her with an expression which made her answer,ꯂꯧꯔꯤꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯄꯥꯎꯈꯨꯝ ꯄꯤꯔꯀꯄꯥ ꯋꯥꯍꯩ ꯑꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯌꯦꯡꯈꯤ
in a whisper,ꯋꯥ ꯉꯥꯡꯕꯥ ꯑꯃꯗꯥ .
"‘No, not just now. Don’t think I’m horrid. I only wanted a little","‘ꯅꯠꯇꯦ, ꯍꯧꯖꯤꯛ ꯈꯛꯇꯃꯛ ꯅꯠꯇꯦ꯫"
"fun, but this sort doesn’t pay, I find, and I’m getting tired of it.’","ꯅꯨꯡꯉꯥꯏꯕꯥ, ꯑꯗꯨꯕꯨ ꯃꯁꯤꯒꯤ ꯃꯈꯜ ꯑꯁꯤꯅꯥ ꯁꯦꯜ ꯄꯤꯗꯦ, ꯑꯩꯅꯥ ꯐꯪꯏ, ꯑꯃꯁꯨꯡ ꯑꯩꯅꯥ ꯃꯁꯤꯗꯒꯤ ꯍꯦꯟꯅꯥ ꯇꯃꯊꯤꯔꯕꯅꯤ꯫’"
163,꯱꯶꯳ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
"‘Here comes Ned Moffat. What does he want?’ said Laurie,",‘ꯃꯐꯝ ꯑꯁꯤꯗꯥ ꯂꯥꯀꯏ ꯅꯦꯗ ꯃꯣꯐꯐꯠ꯫
knitting his black brows as if he did not regard his young host in,ꯃꯍꯥꯛꯀꯤ ꯕ꯭ꯂꯦꯛ ꯕ꯭ꯔꯥꯎꯖꯁꯤꯡ ꯑꯗꯨ ꯃꯍꯥꯛꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯅꯍꯥ ꯑꯣꯏꯔꯤꯕꯥ ꯍꯣꯁ꯭ꯠ ꯑꯗꯨ ꯲꯰꯲꯰ꯗꯥ ꯌꯦꯡꯂꯃꯗꯕꯥ ꯃꯑꯣꯡꯗꯥ ꯁꯦꯃꯖꯤꯜꯂꯤ꯫
the light of a pleasant addition to the party,ꯄꯥꯔꯇꯤ ꯑꯗꯨꯗꯥ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯑꯦꯗꯤꯁꯟ ꯑꯃꯒꯤ ꯃꯉꯥꯜ ꯑꯗꯨ .
"‘He put his name down for three dances, and I suppose he’s","‘ꯃꯍꯥꯛꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯃꯤꯡ ꯊꯣꯅꯕꯥ ꯅꯥꯠ ꯑꯍꯨꯃꯒꯤꯗꯃꯛ ꯊꯃꯈꯤ, ꯑꯃꯁꯨꯡ ꯑꯩꯅꯥ ꯈꯜꯂꯤ ꯃꯗꯨꯗꯤ ꯃꯍꯥꯛꯅꯥ ."
"coming for them. What a bore!’ said Meg, assuming a languid",ꯃꯈꯣꯌꯒꯤꯗꯃꯛ ꯂꯥꯀꯄꯥ꯫
air which amused Laurie immensely,ꯑꯦꯌꯥꯔ ꯋꯤꯊ ꯑꯦꯃꯨꯌꯦꯖ ꯂꯧꯔꯤ ꯑꯁꯤ ꯌꯥꯝꯅꯥ ꯆꯥꯎꯅꯥ .
"He did not speak to her again till suppertime, when he saw her","ꯃꯍꯥꯛꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯎꯈꯤꯕꯥ ꯃꯇꯃꯗꯥ, ꯅꯨꯃꯤꯗꯥꯡ ꯐꯥꯑꯣꯕꯥ ꯃꯍꯥꯛꯀꯥ ꯑꯃꯨꯛ ꯋꯥꯔꯤ ꯁꯥꯈꯤꯗꯦ"
"drinking champagne with Ned and his friend Fisher, who were","ꯅꯦꯗ ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯀꯤ ꯃꯔꯨꯞ ꯐꯤꯁꯥꯔꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯆꯦꯝꯄꯤꯌꯟ ꯊꯀꯄꯥ, ꯃꯈꯣꯌꯁꯤꯡ ꯑꯗꯨ ."
"behaving ‘like a pair of fools’, as Laurie said to himself, for he","ꯂꯧꯔꯤꯅꯥ ꯃꯁꯥꯃꯀꯄꯨ ꯍꯥꯌꯔꯀꯄꯒꯨꯝ ‘ꯃꯨꯔꯈ ꯄꯦꯔꯥ ꯑꯃꯒꯨꯝ’ ꯂꯃꯆꯠ ꯁꯥꯖꯠ ꯆꯠꯄꯥ, ꯃꯍꯥꯛꯀꯤꯗꯃꯛ"
felt a brotherly sort of right to watch over the Marches and fight,ꯈꯣꯡꯆꯠꯁꯤꯡ ꯌꯦꯡꯁꯤꯅꯕꯥ ꯑꯃꯁꯨꯡ ꯂꯥꯟꯊꯦꯡꯅꯕꯒꯤ ꯃꯔꯨꯞ ꯑꯣꯏꯕꯥ ꯃꯈꯂꯒꯤ ꯍꯛ ꯑꯃꯥ ꯐꯥꯑꯣꯈꯤ
their battles whenever a defender was needed,ꯗꯤꯐꯦꯟꯗꯔ ꯑꯃꯥ ꯃꯊꯧ ꯇꯥꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯃꯈꯣꯌꯒꯤ ꯂꯥꯅꯁꯤꯡ ꯑꯗꯨ .
"‘You’ll have a splitting headache tomorrow, if you drink much of","‘ꯑꯗꯣꯝꯅꯥ ꯍꯌꯦꯡ ꯁ꯭ꯞꯂꯤꯇꯤꯡ ꯍꯦꯗ-ꯑꯦꯛ ꯑꯃꯥ ꯂꯩꯒꯅꯤ, ꯀꯔꯤꯒꯨꯝꯕꯥ ꯑꯗꯣꯝꯅꯥ ꯌꯥꯝꯅꯥ ꯊꯛꯂꯕꯗꯤ ."
"that. I wouldn’t, Meg, your mother doesn’t like it, you know,’ he",ꯃꯗꯨ.
"whispered, leaning over her chair, as Ned turned to refill her","ꯋꯥ ꯉꯥꯡꯂꯗꯨꯅꯥ, ꯃꯍꯥꯛꯀꯤ ꯆꯦꯌꯥꯔꯒꯤ ꯃꯊꯛꯇꯥ ꯂꯦꯞꯂꯒꯥ, ꯅꯦꯗꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯔꯤꯐꯤꯜ ꯇꯧꯅꯕꯥ ꯂꯥꯀꯄꯥ ꯃꯇꯃꯗꯥ"
glass and Fisher stooped to pick up her fan,ꯒ꯭ꯂꯥꯁ ꯑꯃꯁꯨꯡ ꯐꯤꯁꯥꯔꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯐꯦꯟ ꯂꯧꯅꯕꯥ ꯁ꯭ꯇꯨꯞ ꯇꯧꯈꯤ
"‘I’m not Meg tonight, I’m ‘a doll’ who does all sorts of crazy","‘ꯑꯩꯍꯥꯛ ꯉꯁꯤ ꯅꯨꯃꯤꯗꯥꯡꯋꯥꯏꯔꯝ ꯃꯦꯒ ꯅꯠꯇꯦ, ꯑꯩꯍꯥꯛ ‘ꯑꯗꯣꯝ’ꯅꯤ ꯃꯗꯨꯗꯤ ꯃꯈꯜ ꯈꯨꯗꯤꯡꯃꯛꯀꯤ ꯄꯥꯒꯜ ꯇꯧꯏ"
things. Tomorrow I shall put away my ‘fuss and feathers’ and be,ꯄꯣꯠꯂꯝꯁꯤꯡ.
"desperately good again,’ se answered with an affected little","ꯑꯃꯨꯛ ꯍꯟꯅꯥ ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯑꯐꯕꯥ,’ ꯑꯦꯁ.ꯏ.ꯅꯥ ꯁꯣꯀꯍꯜꯂꯕꯥ ꯑꯄꯤꯀꯄꯥ ꯑꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯄꯥꯎꯈꯨꯝ ꯄꯤꯈꯤ"
laugh,ꯅꯣꯛꯄ
"‘Wish tomorrow was here, then,’ muttered Laurie, walking off, ill-","‘ꯎꯏꯁ ꯇꯨꯃꯔꯣ ꯋꯥꯁ ꯍꯤꯌꯥꯔ, ꯑꯗꯨꯗꯒꯤ,’ ꯍꯥꯌꯅꯥ ꯂꯥꯎꯔꯤ, ꯋꯥꯀꯤꯡ ꯑꯣꯐ, ꯏꯜ-"
pleased at the change he saw in her,ꯃꯍꯥꯛꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯃꯐꯃꯗꯥ ꯎꯈꯤꯕꯥ ꯑꯍꯣꯡꯕꯥ ꯑꯗꯨꯗꯥ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯐꯥꯑꯣꯈꯤ
164,꯱꯶꯴ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
"Meg danced and flirted, chattered and giggled, as the other","ꯃꯦꯒ ꯅꯥꯠ ꯑꯃꯁꯨꯡ ꯐ꯭ꯂꯤꯔ ꯇꯧꯈꯤ, ꯋꯥꯔꯤ ꯁꯥꯟꯅꯈꯤ ꯑꯃꯁꯨꯡ ꯒꯤꯒꯜ ꯇꯧꯈꯤ, ꯑꯇꯣꯞꯄꯥ ꯑꯗꯨꯒꯨꯝꯅꯥ ."
"girls did. After supper she undertook the German, and",ꯅꯨꯄꯤꯃꯆꯥꯁꯤꯡꯅꯥ ꯇꯧꯈꯤ꯫
"blundered through it, nearly upsetting her partner with her long","ꯃꯁꯤꯒꯤ ꯈꯨꯠꯊꯥꯡꯗꯥ ꯕ꯭ꯂꯨꯟꯗꯔ ꯇꯧꯈꯤ, ꯃꯍꯥꯛꯀꯤ ꯄꯥꯔꯇꯅꯔꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯄꯥꯔꯇꯅꯔꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯌꯥꯝꯅꯥ ꯅꯨꯡꯉꯥꯏꯇꯕꯥ ꯐꯥꯑꯣꯈꯤ"
"skirt, and romping in a way that scandalized Laurie, who looked","ꯁ꯭ꯀꯥꯔꯠ, ꯑꯃꯁꯨꯡ ꯔꯣꯝꯄꯤꯡꯅꯥ ꯂꯧꯔꯤꯕꯨ ꯁ꯭ꯛꯌꯥꯟꯗꯦꯜ ꯇꯧꯈꯤꯕꯥ ꯃꯑꯣꯡꯗꯥ, ꯃꯍꯥꯛꯅꯥ ꯌꯦꯡꯈꯤꯕꯥ"
"on and meditated a lecture. But he got no chance to deliver it,",ꯑꯣꯟ ꯑꯃꯁꯨꯡ ꯃꯦꯗꯤꯇꯦꯁꯟ ꯑꯃꯥ ꯂꯦꯀꯆꯔ ꯑꯃꯥ ꯄꯤꯈꯤ꯫
for Meg kept away from him till he came to say good night,ꯃꯔꯃꯗꯤ ꯃꯦꯒꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯅꯨꯃꯤꯠ ꯆꯨꯞꯄꯥ ꯑꯃꯥ ꯍꯥꯌꯅꯕꯥ ꯂꯥꯀꯄꯥ ꯐꯥꯑꯣꯕꯥ ꯃꯍꯥꯛꯀꯤ ꯃꯐꯃꯗꯒꯤ ꯂꯥꯞꯅꯥ ꯂꯩꯈꯤ
"‘Remember!’ she said, trying to smile, for the splitting headache","‘ꯅꯤꯡꯁꯤꯡꯕꯤꯌꯨ!’ ꯃꯍꯥꯛꯅꯥ ꯅꯣꯀꯄꯥ ꯍꯣꯠꯅꯗꯨꯅꯥ ꯍꯥꯌꯔꯀꯏ, ꯈꯥꯌꯗꯣꯀꯄꯥ ꯍꯦꯗ-ꯑꯦꯛ ꯑꯗꯨꯒꯤꯗꯃꯛ"
had already begun,ꯍꯥꯗ ꯍꯥꯟꯅꯅꯥ ꯍꯧꯈ꯭ꯔꯦ .
"‘Silence a‘ la mort,’ replied Laurie, with a melodramatic flourish,","‘ꯁꯥꯏꯂꯦꯟꯁ ꯑꯦ‘ ꯂꯥ ꯃꯣꯔꯠ,’ ꯍꯥꯌꯅꯥ ꯂꯧꯔꯤ, ꯃꯦꯂꯣꯗ꯭ꯔꯥꯃꯥꯇꯤꯛ ꯐ꯭ꯂꯣꯔꯤꯁ ꯑꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯄꯥꯎꯈꯨꯝ ꯄꯤꯔꯀꯈꯤ,"
as he went away,ꯃꯍꯥꯛꯅꯥ ꯆꯠꯈꯤꯕꯥ ꯑꯗꯨꯒꯨꯝꯅꯥ .
"This little bit of byplay excited Annie’s curiosity, but Meg was","ꯃꯁꯤꯒꯤ ꯑꯄꯤꯀꯄꯥ ꯕꯥꯏꯞꯂꯦ ꯑꯁꯤꯅꯥ ꯑꯦꯟꯅꯤꯒꯤ ꯀ꯭ꯌꯨꯔꯤꯑꯣꯁꯤꯇꯤꯗꯥ ꯄꯨꯛꯅꯤꯡ ꯊꯧꯒꯠꯈꯤ, ꯑꯗꯨꯕꯨ ꯃꯦꯒ ꯑꯁꯤ ꯑꯣꯏꯈꯤ꯫"
"too tired for gossip and went to bed, feeling as if she had been","ꯒꯣꯁꯤꯄꯀꯤꯗꯃꯛ ꯌꯥꯝꯅꯥ ꯋꯥꯅꯥ ꯑꯃꯁꯨꯡ ꯇꯨꯝꯕꯥ ꯌꯥꯗꯅꯥ, ꯃꯍꯥꯛꯅꯥ ꯂꯩꯔꯝꯕꯥ ꯑꯗꯨꯒꯨꯝꯅꯥ ꯐꯥꯑꯣꯔꯤ"
to a masquerade and hadn’t enjoyed herself as much as she,ꯃꯥꯁ꯭ꯛ ꯑꯃꯗꯥ ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯅꯥ ꯃꯁꯥꯃꯀꯄꯨ ꯌꯥꯝꯅꯥ ꯅꯨꯡꯉꯥꯏꯖꯈꯤꯗꯦ
"expected. She was sick all the next day, and on Saturday went",ꯊꯥꯖꯕ ꯊꯝꯕ.
"home, quite used up with her fortnight’s fun and feeling that she","ꯌꯨꯃꯗꯥ, ꯃꯍꯥꯛꯀꯤ ꯅꯨꯃꯤꯠ ꯍꯨꯝꯅꯤꯒꯤ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯑꯃꯁꯨꯡ ꯐꯤꯜꯂꯤꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯌꯥꯝꯅꯥ ꯁꯤꯖꯤꯟꯅꯈꯤ꯫"
had ‘sat in the lap of luxury’ long enough,‘ꯁꯥꯠ ꯏꯟ ꯗꯤ ꯂꯦꯄ ꯑꯣꯐ ꯂꯛꯁꯥꯔꯤ’ ꯃꯇꯝ ꯁꯥꯡꯅꯥ ꯂꯩꯈꯤ
"‘It does seem pleasant to be quiet, and not have company","‘ꯃꯁꯤ ꯊꯨꯅꯥ ꯌꯥꯡꯅꯥ ꯆꯠꯄꯥ ꯑꯁꯤ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯑꯃꯅꯤ, ꯑꯃꯁꯨꯡ ꯀꯝꯄꯦꯅꯤ ꯂꯩꯕꯥ ꯑꯁꯤ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯑꯃꯅꯤ ."
"manners on all the time. Home is a nice place, though it isn’t",ꯃꯇꯝ ꯄꯨꯝꯅꯃꯛꯇꯥ ꯂꯃꯆꯠ-ꯁꯥꯖꯠ꯫
"splendid,’ said Meg, looking about her with a restful expression,","ꯁ꯭ꯞꯂꯦꯟꯗꯤꯗ,’ ꯍꯥꯌꯅꯥ ꯃꯦꯒꯅꯥ ꯍꯥꯌꯔꯀꯏ, ꯃꯍꯥꯛꯀꯤ ꯃꯔꯃꯗꯥ ꯅꯨꯡꯉꯥꯏꯅꯥ ꯃꯤꯠꯌꯦꯡ ꯊꯃꯗꯨꯅꯥ,"
as she sat with her mother and Jo on the Sunday evening,ꯅꯨꯃꯤꯠ ꯅꯤꯅꯤꯒꯤ ꯅꯨꯃꯤꯗꯥꯡꯋꯥꯏꯔꯃꯗꯥ ꯃꯃꯥ ꯑꯃꯁꯨꯡ ꯖꯣꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯐꯃꯂꯒꯥ
"‘I’m glad to hear you say so, dear, for I was afraid home would","‘ꯑꯩꯍꯥꯛ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯐꯥꯑꯣꯏ ꯅꯉꯅꯥ ꯍꯥꯌꯕꯥ ꯇꯥꯕꯗꯥ, ꯅꯨꯡꯁꯤꯔꯕꯥ, ꯃꯔꯃꯗꯤ ꯑꯩꯅꯥ ꯌꯥꯝꯅꯥ ꯂꯥꯡꯇꯛꯅꯈꯤ ꯍꯣꯝ ꯇꯧꯒꯅꯤ"
"seem dull and poor to you after your fine quarters,’ replied her","ꯅꯍꯥꯛꯀꯤ ꯐꯖꯔꯕꯥ ꯀ꯭ꯕꯥꯇꯔꯁꯤꯡꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯅꯍꯥꯛꯀꯤꯗꯃꯛꯇꯥ ꯅꯨꯡꯉꯥꯏꯇꯕꯥ ꯑꯃꯁꯨꯡ ꯂꯥꯌꯔꯕꯥ ꯑꯣꯏꯅꯥ ꯎꯏ,’ ꯍꯥꯌꯅꯥ ꯃꯍꯥꯛꯅꯥ ꯄꯥꯎꯈꯨꯝ ꯄꯤꯔꯀꯈꯤ"
165,꯱꯶꯵ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
"mother, who had given her many anxious looks that day. For","ꯃꯃꯥ, ꯅꯨꯃꯤꯠ ꯑꯗꯨꯗꯥ ꯃꯍꯥꯀꯄꯨ ꯋꯥꯈꯜ ꯅꯨꯡꯉꯥꯏꯇꯕꯥ ꯃꯤꯠꯌꯦꯡ ꯀꯌꯥ ꯄꯤꯕꯤꯔꯝꯃꯤ꯫"
motherly eyes are quick to see any change in children’s faces,ꯃꯃꯥꯒꯤ ꯃꯤꯠꯌꯦꯡꯅꯥ ꯑꯉꯥꯡꯁꯤꯡꯒꯤ ꯃꯐꯃꯗꯥ ꯑꯍꯣꯡꯕꯥ ꯑꯃꯠꯇꯥ ꯂꯥꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯊꯨꯅꯥ ꯎꯕꯥ ꯐꯪꯏ
Meg had told her adventures gayly and said over and over what,ꯃꯦꯒꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯑꯦꯗꯚꯦꯟꯆꯔꯁꯤꯡ ꯒꯦꯂꯤ ꯍꯥꯌꯅꯥ ꯍꯥꯌꯔꯝꯃꯤ ꯑꯃꯁꯨꯡ ꯀꯔꯤ ꯍꯟꯖꯤꯟ ꯍꯟꯖꯤꯟ ꯍꯥꯌꯈꯤꯕꯒꯦ
"a charming time she had had, but something still seemed to","ꯃꯍꯥꯛꯅꯥ ꯐꯪꯈꯤꯕꯥ ꯃꯤꯅꯨꯡꯁꯤ ꯂꯩꯕꯥ ꯃꯇꯝ ꯑꯃꯥ, ꯑꯗꯨꯕꯨ ꯍꯧꯖꯤꯀꯁꯨ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯈꯔꯥ ꯇꯧꯕꯥ ꯌꯥꯏ"
"weigh upon her spirits, and when the younger girls were gone to","ꯃꯍꯥꯛꯀꯤ ꯊꯋꯥꯌꯁꯤꯡ ꯑꯗꯨ ꯋꯥꯏ, ꯑꯃꯁꯨꯡ ꯅꯍꯥ ꯑꯣꯏꯔꯤꯕꯥ ꯅꯨꯄꯤꯃꯆꯥꯁꯤꯡꯅꯥ ꯆꯠꯈꯤꯕꯥ ꯃꯇꯃꯗꯥ ."
"bed, she sat thoughtfully staring at the fire, saying little and","ꯐꯃꯨꯡ, ꯃꯍꯥꯛ ꯋꯥꯈꯜ ꯈꯟꯊꯗꯨꯅꯥ ꯃꯩ ꯊꯥꯗꯣꯛꯇꯨꯅꯥ ꯐꯃꯂꯒꯥ, ꯑꯄꯤꯀꯄꯥ ꯍꯥꯌꯔꯒꯥ ꯑꯃꯁꯨꯡ ꯍꯥꯌꯔꯒꯥ"
"looking worried. As the clock struck nine and Jo proposed bed,",ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯎꯕꯥ ꯐꯪꯏ꯫
"Meg suddenly left her chair and, taking Beth’s stool, leaned her",ꯃꯦꯒꯅꯥ ꯈꯉꯍꯧꯗꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯆꯦꯌꯥꯔꯗꯒꯤ ꯊꯣꯔꯀꯈꯤ ꯑꯃꯁꯨꯡ ꯕꯦꯊꯀꯤ ꯁ꯭ꯇꯣꯜ ꯑꯗꯨ ꯂꯧꯊꯣꯛꯂꯒꯥ ꯃꯍꯥꯀꯄꯨ ꯂꯦꯡꯗꯅꯥ ꯊꯃꯈꯤ
"elbows on her mother’s knee, saying bravely","ꯃꯃꯥꯒꯤ ꯈꯣꯡꯗꯥ ꯑꯦꯂꯕꯣꯏ, ꯊꯧꯅꯥ ꯐꯅꯥ ꯍꯥꯌꯔꯀꯄꯥ"
"‘Marmee, I want to ‘fess’.’","‘ꯃꯥꯔꯃꯤ, ꯑꯩꯅꯥ ‘ꯐꯦꯁ’ ꯇꯧꯕꯥ ꯄꯥꯝꯃꯤ꯫’"
"‘I thought so. What is it, dear?’ ‘Shall I go away?’ asked Jo",‘ꯑꯩꯍꯥꯛ ꯈꯅꯈꯤ꯫
discreetly,ꯅꯤꯡꯊꯤꯖꯅꯥ .
‘Of course not. Don’t I always tell you everything? I was,"‘ꯑꯆꯨꯝꯕꯅꯤ, ꯅꯠꯇꯦ꯫"
"ashamed to speak of it before the younger children,","ꯅꯍꯥ ꯑꯣꯏꯔꯤꯕꯥ ꯑꯉꯥꯡꯁꯤꯡꯒꯤ ꯃꯃꯥꯡꯗꯥ ꯃꯁꯤꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯋꯥ ꯉꯥꯡꯕꯗꯥ ꯂꯥꯡꯇꯛꯅꯕꯥ,"
